intent,scenario,ground_truth,baseline_transcript,finetuned_transcript,baseline_primary_error_type,baseline_confidence,baseline_alignment_summary,baseline_impact,baseline_correct,finetuned_correct
calendar_query,calendar,do i have any reminders today,LAVANY REMIND YES TORDAY,DO I HAVE ANY REMINDERS TODAY,proper_noun_error,0.9893657,replace:do i have any reminders today->lavany remind yes torday,high_impact,False,True
email_query,email,are there any emails in regard to my promotion,WHETHER I NEED WAS IN HER GUT TO MY PROMOTION,ARE THERE ANY EMALS AN YOR GAR TER PROMOTION,proper_noun_error,0.989347,replace:are there any emails->whether i need was | replace:regard->her gut,high_impact,False,False
music_query,music,what song is this,WHAT PSAN IS THIS,WHAT SONG IS THIS,proper_noun_error,0.9893339,replace:song->psan,high_impact,False,True
alarm_query,alarm,what alarms do i have set right now,WHAT ELLYRA'S DO I HAVE SAD FOR IT NOW,WHAT ALARMS DO I HAVE SET RIGHT NOW,proper_noun_error,0.9893022,replace:alarms->ellyra's | replace:set right->sad for it,high_impact,False,True
qa_definition,qa,try out in wikipedia,TRY OW IN GOD HE,TRY OUT IN BUTIPEIA,proper_noun_error,0.9892608,replace:out->ow | replace:wikipedia->god he,high_impact,False,False
query,lists,what are my lists,PEDIER WHAT ARE MY LISTS,WHAT ARE MY LISTS,proper_noun_error,0.98914427,insert:pedier,high_impact,False,False
calendar_set,calendar,remind the required events to be reset,THE REQUIRED EVENTS TO BE RESEPT,FIND THE REQUIRED EVENTS TO BE RESET,proper_noun_error,0.9890969,delete:remind | replace:reset->resept,high_impact,False,False
general_quirky,general,the weather is sunny today,THE WEATHER IS SUNNY TO DAY,THE WEATHER IS SUNY TODAY,proper_noun_error,0.98903775,replace:today->to day,high_impact,False,False
alarm_remove,alarm,siri cancel yoga alarms,VERY HANDSOE YOUNG AHA,CEI CANCEL YOGAL ALARMS,proper_noun_error,0.98898435,replace:siri cancel yoga alarms->very handsoe young aha,high_impact,False,True
weather_query,weather,what will the weather be like for this week,WHY LI RETE YOU HAVE FOR MISWEK,WHAT WIL THE WEATHER BE LIE FOR THIS WEK,proper_noun_error,0.9889747,replace:what will the weather be like->why li rete you have | replace:this week->miswek,high_impact,False,True
calendar_set,calendar,i want to add something to my calendar,I WAS Y SOTING TO MY HALENDA,I WANT TO AD SOMETHING TO MY CALENDAR,proper_noun_error,0.9889699,replace:want to add something->was y soting | replace:calendar->halenda,high_impact,False,True
calendar_set,calendar,notify me with all events in the next one week,NOTIFAMILI WAS ALL EVENTS IN THE NEXT ONE WEEK,NOTIFY ME WITH AL EVENTS IN THE NEXT ONE WEK,proper_noun_error,0.9888536,replace:notify me with->notifamili was,high_impact,False,True
calendar_remove,calendar,delete from the calendar the next event,DEPONICLANDER MAKES EVENT,DEPE ON CALENDAR NEXT EVENT,proper_noun_error,0.98884565,replace:delete from the calendar the next->deponiclander makes,high_impact,False,False
qa_stock,qa,what is the stock value of google,WHAT THE STOKO VALEY OF GULUR,WHATS THE STOCKING VALUE OF GOGLE,proper_noun_error,0.9887165,delete:is | replace:stock value->stoko valey | replace:google->gulur,high_impact,False,True
calendar_remove,calendar,please delete all reminder of sunday,LEAST DID ALL REMINDER OF SUNDAY,PLEASE DELETE AL REMINDER OF SUNDAY,proper_noun_error,0.9886902,replace:please delete->least did,high_impact,False,True
query,lists,what are my lists,WHAT ARE MY LISTS,WHAT ARE MY LISTS,no_error,0.9886308,exact_match,high_impact,False,False
play_audiobook,play,start play johns audiobook,STARR PLAY JON'S AUDOBOK,START PLAYNG JOHNS AUDIOBOK,proper_noun_error,0.9885642,replace:start->starr | replace:johns audiobook->jon's audobok,high_impact,False,True
recommendation_events,recommendation,which flags ride is the best,WHIC HE TAKES FIVE STRADE TO THE BEST,WHIC SEX FIVE STRIVE IS THE BEST,number_error,0.9884941,replace:which flags ride is->whic he takes five strade to,high_impact,False,False
email_sendemail,email,open new email to this coworker at this email,HEYE ON NEI OUTS WOT HIS HER WORKER A BUSY MAN,OPEN NEW EMAIL TO THIS HER WORKER AT THIS EMAIL,proper_noun_error,0.988485,replace:open new email to this coworker at this email->heye on nei outs wot his her worker a busy man,high_impact,False,True
datetime_query,datetime,tell me current time,TELL ME CURRENTIME,TEL ME CURENT TIME,proper_noun_error,0.9884193,replace:current time->currentime,high_impact,False,True
calendar_query,calendar,what events are in my calendar for today,WES I AM Y CALENDE FOR TO DAY,WHAT EVENTS ARE IN MY CALENDAR FOR TODAY,proper_noun_error,0.9884062,replace:what events are in my calendar->wes i am y calende | replace:today->to day,high_impact,False,True
calendar_set,calendar,add a note to attend,I DON'T KNOW WHAT YO HAVE DONE,AD A NOTE TO A DAM,proper_noun_error,0.9884013,replace:add a note to attend->i don't know what yo have done,high_impact,False,True
lists_createoradd,lists,add this to a list,HIS TU LIST,AD THIS TO A LIST,proper_noun_error,0.98833454,replace:add this to a->his tu,high_impact,False,True
calendar_query,calendar,what is my afternoon schedule tomorrow,WHAT IS MY ART I ES CA T MORROW,WHAT IS MY AFTERNON SCHEDULE TOMOROW,proper_noun_error,0.9883333,replace:afternoon schedule tomorrow->art i es ca t morrow,high_impact,False,True
recommendation_locations,recommendation,olly what are some restaurants near me,I WAS AS UNLESS YOUA ANY,OLY WHAT DOES SOME RESTAURANT EAR MEAN,proper_noun_error,0.9883295,replace:olly what are some restaurants near me->i was as unless youa any,high_impact,False,False
iot_coffee,iot,i would like some coffee now,O WHAT LATS Y COPY HOW,I WOULD LIKE SOME COFE NOW,proper_noun_error,0.9883292,replace:i would like some coffee now->o what lats y copy how,high_impact,False,True
music_likeness,music,i am forever hip hop,I AM FOR EVER A HEAP HUP,I AM FOR EVER HIP HOP,proper_noun_error,0.9882835,replace:forever hip hop->for ever a heap hup,high_impact,False,True
calendar_remove,calendar,clear my schedule for today,HE ERE MY SCHEDUL FOR TO DAY,CLEAR MY SCHEDULE FOR TODAY,proper_noun_error,0.98826563,replace:clear->he ere | replace:schedule->schedul | replace:today->to day,high_impact,False,True
cooking_recipe,cooking,for how much time should i oven pizza to make it perfect crispy,SO HOW MUCH TIME SHALL I OFTEN BE SAID TO MAKE IT PERFECTLY CHRISTE,ORHOW MUCH TIME SHOULD I HAVE OFTEN PIZA TO MAKE IT PERFECTLY CHRISY,proper_noun_error,0.9882494,replace:for->so | replace:should->shall | replace:oven pizza->often be said | replace:perfect crispy->perfectly christe,high_impact,False,False
calendar_set,calendar,let me know the morning of my doctor appointment on the twelfth,EN YOU KNOW THE MORIN OF MY DAP GIRAN AMITMENT ON THE TURPS,LET ME KNOW THE MORNING OF MY DOCRAPOINTMENTS ON THE TWELFTH,proper_noun_error,0.9881892,replace:let me->en you | replace:morning->morin | replace:doctor appointment->dap giran amitment | replace:twelfth->turps,high_impact,False,False
play_music,play,play uptown girl by billy joel,GREAT OUT TO GIRL F I DERLY JO,PLAY UPTON GRO BY BILY JO,proper_noun_error,0.9881825,replace:play uptown->great out to | replace:by billy joel->f i derly jo,high_impact,False,True
social_post,social,post to twitter got a hectic day ahead,POPUPETER NOT A HATY THING YE HAD,POST TO TWITER NOT AHECTIVE THEY HAD,proper_noun_error,0.98816586,replace:post to twitter got->popupeter not | replace:hectic day ahead->haty thing ye had,high_impact,False,True
set,alarm,set an alarm for five am,SET ALARM FOR FIVE A M,SET ALARM FOR FIVE AM,proper_noun_error,0.9881245,delete:an | replace:am->a m,high_impact,False,False
quirky,general,what am i doing today,WHAT AM MY DOING TO DAY,WHAT AM I DOING TODAY,proper_noun_error,0.9880834,replace:i->my | replace:today->to day,high_impact,False,False
general_quirky,general,the weather is sunny today,THE WEATHER IS SUNNY TO DI,THE WEATHER IS SUNY TODAY,proper_noun_error,0.9880264,replace:today->to di,high_impact,False,False
social_post,social,send tweet to united airlines i'm angry you lost my bags,SAID HE  IE HAIRD O AR MAWL S BOUT,SEND TWET TO UNITAN AVENT ON ALMALY LOST MY BAKS,proper_noun_error,0.98799837,replace:send tweet to united airlines i'm angry you lost my bags->said he ie haird o ar mawl s bout,high_impact,False,False
qa_factoid,qa,what's trump been on about this week,WAS TRUNK BE GOOD ABOUT THIS WEE,WHATS TRUMP BING ON ABOUT THIS WEK,proper_noun_error,0.9879978,replace:what's trump been on->was trunk be good | replace:week->wee,high_impact,False,False
news_query,news,give me the news,HE NEEDN'T ANY WHY,GIVE ME THE NAME I,proper_noun_error,0.98798674,replace:give me the news->he needn't any why,high_impact,False,False
lists_query,lists,what is on my shopping list today,WHAT IS A MY SHOK HIM THIS TO DAY,WHAT IS ON MY SHOPING LIST TODAY,proper_noun_error,0.9879683,replace:on->a | replace:shopping list today->shok him this to day,high_impact,False,True
music_settings,music,disable shuffle,ESA BAUCHELF,DISABLE SHELF,proper_noun_error,0.9879659,replace:disable shuffle->esa bauchelf,high_impact,False,False
lists_query,lists,what is on the list for today,WHAT IT IS OURA BES FOREDAY,WHAT IS ON THE LIST FOR TODAY,proper_noun_error,0.98785174,insert:it | replace:on the list for today->oura bes foreday,high_impact,False,True
play_radio,play,start radio,IT'S HART REALYOU,START RADIO,proper_noun_error,0.98783255,replace:start radio->it's hart realyou,high_impact,False,True
general_quirky,general,what is your favorite color,WHAT IS YOU RAIN UPONA,WHAT IS YOUR FAVORITE COLOR,proper_noun_error,0.9878056,replace:your favorite color->you rain upona,high_impact,False,False
general_quirky,general,is there a correlation between the weather in beijing and nasdaq prices over the last week,IS THOU A CORRONATION BETWEEN WEATHER INVAJANE AND NASTAK PRIESES OF THE LAST WEEK,IS THERE A CORILATION BETWEN THE WEATHER IN BEGIN AND NESTAK PRICES OVER THE LAST WEK,proper_noun_error,0.9877736,replace:there->thou | replace:correlation->corronation | delete:the | replace:in beijing->invajane | replace:nasdaq prices over->nastak prieses of,high_impact,False,False
datetime_query,datetime,what day is it today,WHO ARE DIEASY TO DAY,WHAT DAY IS TODAY,proper_noun_error,0.98776746,replace:what->who are dieasy to | delete:is it today,high_impact,False,True
weather_query,weather,is it going to rain tomorrow,IS IT GOING TO RANGE OF MIND,IS IT GOING TO RAIN TOMOROW,proper_noun_error,0.98775023,replace:rain tomorrow->range of mind,high_impact,False,True
calendar_set,calendar,list out the upcoming meeting,HOW THE AR COMMON MEETING,TEYOUT THE UPCOMING METING,proper_noun_error,0.98772717,replace:list out->how | replace:upcoming->ar common,high_impact,False,False
music_query,music,nine hundred and ninety nine fm is currently playing what music,NINE HUNDRED AND NINETY NINE  FIRM IS CURRENTLY PLAYING QUAT MUSIC,NINE HUNDRED AND NINETY NINE FM IS CURENTLY PLAYING POT MUSIC,proper_noun_error,0.9877007,replace:fm->firm | replace:what->quat,high_impact,False,False
news_query,news,follow news about hilary email issue in future,FOLLOW MEWS ABOUT HI HAR EIN THE SHATING FUTURE,FOLOW NEWS ABOUT YHILAR EMAIL DISULD IN FUTURE,proper_noun_error,0.9876853,replace:news->mews | replace:hilary email issue in->hi har ein the shating,high_impact,False,False
qa_factoid,qa,please give me information next movie of aamir khan,PLA ME MAD AWA TO THE NEXT WILL BE O AO CAME,PLEASE GIVE ME INFORMATION NEXT MOVIE OF ALBU CA,proper_noun_error,0.9875481,replace:please give->pla | replace:information->mad awa to the | replace:movie of aamir khan->will be o ao came,high_impact,False,False
calendar_query,calendar,is there any program for tomorrow evening,IS THE ONLY FROGI HOPE MORAL YOUNINK,IS THERE ANY AFRAGA FOR TOMOROW EVENING,proper_noun_error,0.9874484,replace:there any program for tomorrow evening->the only frogi hope moral younink,high_impact,False,True
calendar_query,calendar,what were the highlights from this evening's soccer match,WAS WOR HANISE FROMIDIN HIS SUCK MASH,WHAT MOVE THE HIGHLIKES FROM THIS EVENAIL SOCKBASH,proper_noun_error,0.98741084,replace:what were the highlights from this evening's soccer match->was wor hanise fromidin his suck mash,high_impact,False,False
quirky,general,what am i doing today,MY DOING TO DAY,WHAT I DOING TODAY,proper_noun_error,0.98740035,replace:what am i->my | replace:today->to day,high_impact,False,False
transport_traffic,transport,how much traffic does atlanta georgia usually have,ON WHIS TRAFFET DOES AT NAT ENJOIG HER EASILY HAVE,HOW MUCH TRAFIC DOES DMANTON GEORGA USELY HAVE,proper_noun_error,0.9873668,replace:how much traffic->on whis traffet | replace:atlanta georgia usually->at nat enjoig her easily,high_impact,False,False
email_query,email,who emailed me recently and what did they email about,POING WEN OT BEN ERISTICATED WHAT YOU DID MAO NOW,FORIN MY OF THE NEAREST ACAOBO TODAYM Y GOP NUP,proper_noun_error,0.9873562,replace:who emailed me recently and->poing wen ot ben eristicated | insert:you | replace:they email about->mao now,high_impact,False,False
music_query,music,what song is this,WHAT'S AL IT IS ALL I LAIN HA,WHAT SONG IS ISOLY PLAY INTOM,proper_noun_error,0.9872355,replace:what song->what's al it | replace:this->all i lain ha,high_impact,False,True
query,weather,will it be raining tomorrow,WELL IT BE RAINING TO MORROW,WIL IT BE RAINING TOMOROW,proper_noun_error,0.9872164,replace:will->well | replace:tomorrow->to morrow,high_impact,False,False
query,weather,is it raining outside,IS IT RAING OUTSIDE,IS IT RAINING OUTSIDE,proper_noun_error,0.9871809,replace:raining->raing,high_impact,False,False
weather_query,weather,how hot is it in miami,HOW HARDY DI HE MY AMME,HOW HART IS IT IN MIANI,proper_noun_error,0.98717403,replace:hot is it in miami->hardy di he my amme,high_impact,False,False
recommendation_events,recommendation,what exhibits or shows are scheduled at the metropolitan theater,WHY TES WAS SHARING A SHTOD AN THE MATRPOSEN THEATRE,WHAT INTERVITS OR SHOWES ARE SCHEDULED AT THE MEXIPOLITAN THEATRE,proper_noun_error,0.9871616,replace:what exhibits or shows are scheduled at->why tes was sharing a shtod an | replace:metropolitan theater->matrposen theatre,high_impact,False,True
alarm_query,alarm,at what time have you set alarm for me,IT WAS OUR HINS THAT LOVE FOR ME,AT WHAT TIME IS RITENT ALARM FOR ME,proper_noun_error,0.98707783,replace:at what time have you set alarm->it was our hins that love,high_impact,False,True
general_quirky,general,what's up,WHAT'S ALOP,WHATS ALAP,proper_noun_error,0.9870712,replace:up->alop,high_impact,False,False
email_query,email,please refresh my gmail inbox,PLEASE REFRESH MY GEMALE IN BOX,PLEASE REFRESH MY GMAIL INBOX,proper_noun_error,0.98706555,replace:gmail inbox->gemale in box,high_impact,False,True
alarm_remove,alarm,remove my early alarms,REMEAU MY EARLY ALAMS,REMOVE MY EARLY ALARMS,proper_noun_error,0.9870564,replace:remove->remeau | replace:alarms->alams,high_impact,False,True
music_query,music,check the current playing music title,CHEPKART PLAYING MUSIC TICHEL,CHECK H CURENT PLAYING MUSIC TITLE,proper_noun_error,0.98703045,replace:check the current->chepkart | replace:title->tichel,high_impact,False,False
music_likeness,music,save that song and my opinion,GIT US ONL MY OPINION,SAVE THAT SONG ON MY OPINION,proper_noun_error,0.98701304,replace:save that song and->git us onl,high_impact,False,True
email_query,email,search matthews deadlines,SEARCH MATTEROUS DEAD LANDS,SEARCH MATERS HEADLINES,proper_noun_error,0.98697436,replace:matthews deadlines->matterous dead lands,high_impact,False,False
recommendation_locations,recommendation,can you recommend any pub in mg road,AND YOURIV MAD ANY HOPPY IN AM LOOKING HO,CAN YOU RECOMEND ANY PARTY IN MDGMO,proper_noun_error,0.9869288,replace:can you recommend->and youriv mad | replace:pub->hoppy | replace:mg road->am looking ho,high_impact,False,False
news_query,news,entertainment news,I SAY TAT HES,ENTERTAINMENT PLEASE,proper_noun_error,0.98691094,replace:entertainment news->i say tat hes,high_impact,False,False
play_audiobook,play,audio book play jai ho,OH DO LOOK CLAMED JINNY HALL,AUDIOBOK PLAY JAHO,proper_noun_error,0.98686117,replace:audio book play jai ho->oh do look clamed jinny hall,high_impact,False,True
qa_factoid,qa,what's trump been on about this week,SAL AE BEEN ON A BOUTTES WEEK,HA TUMP BEN ON ABOUT THIS WEK,proper_noun_error,0.98685753,replace:what's trump->sal ae | replace:about this->a bouttes,high_impact,False,False
qa_stock,qa,what is the current stock rate of facebook,WHY SID HOWANS WILL STOP RAY O FACEBUL,WHAT IS THE CURENT STOCK RATE OF FACEBOK,proper_noun_error,0.9868426,replace:what is the current stock rate of facebook->why sid howans will stop ray o facebul,high_impact,False,True
music_query,music,which song is that,WHICH SUNK IS DEAD,WHICH SONG IS DAD,proper_noun_error,0.98683494,replace:song->sunk | replace:that->dead,high_impact,False,True
query,weather,is it raining outside,IN THE RAIN OUTSIDE,IS IT RAINING OUTSIDE,proper_noun_error,0.9868254,replace:is it raining->in the rain,high_impact,False,False
music_settings,music,loop this track,LOOK ISHTRAK,NOK PHEAS TRACK,proper_noun_error,0.9868123,replace:loop this track->look ishtrak,high_impact,False,False
calendar_set,calendar,i have a birthday on monday set the event,I AM BUT UP THERE ONE DAY SET ME IN A,I HAVE A BIRTHDAY ON MONDAY SET THE EVENT,number_error,0.98676205,replace:have->am but up there one day set me in | delete:birthday on monday set the event,high_impact,False,True
general_quirky,general,you were bring an new schemes,YOU WARE BRING A NEWSCIS,ER BRINGAN NEWSKEWS,proper_noun_error,0.9864981,replace:were->ware | replace:an new schemes->a newscis,high_impact,False,False
